"H2"||"H"||2||20|||74|||||0|0|0|0|0|0|100|100|100|95|97.5|100|90|95|100|85|92.5|100||18.5|||1.3|||2|||2.9|||5.9|||6.4|||44||||||||35|37.5|40||0||0.2|2.1|4||||1.1|1.2|1.3||||1.16|1.26|1.31||4.23|9|14|0.11|0.14|0.17||||30.4|32.6|34.7|16.6|19.9|23.2|46|50|54|0|1.5|2.9|35|40|45|10|15|20|8|15|23|".17"|".17"|0|0|0|0|0|0|0|3|4|0|0|0|9.7|13.4|15.3|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"26150100"|"78108669"
"C1"||"C"||1|63|66|68|86|91|97|20|25|31|0|0|0|0|3|5|90|94|100|79|89|100|78|89|100|75|86|100|2|5|10|0|0|0.3|0|0|0.6|0|0.1|1.1|0.2|1.1|3.2|1.8|3.8|4.8|40|40|45|||||||50|55|58|0|0|0|0.5|0.75|1||||1.2|1.36|1.4||||1.57|1.73|1.83|2.69|4.23|9|14|0.13|0.14|0.15||||28.4|32.2|36.2|23.1|27.9|33.1|39|43|53|6.7|7.8|9.3|59|65|71|36|40|44|27|38|52|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|26.2|29|30.7||||24.8|27.8|31.3|6.6|6.9|7.3||||||||||3|4.5|5.7|||||||||||||||||||||"26150229"|"78109039"
"C2"||"C"||2|86|91|97|116|122|122|25|31|31|0|0|0|0|3|5|90|94|100|79|89|100|78|89|100|75|86|100|2|5|10|0|0|0.3|0|0|0.6|0|0.1|1.1|0.2|1.1|3.2|1.8|3.8|4.8|40|40|45|||||||50|55|58|0|0|0|0.5|0.75|1||||1.2|1.36|1.4||||1.57|1.73|1.83|2.69|4.23|9|14|0.13|0.14|0.15||||28.4|32.2|36.2|23.1|27.9|33.1|39|43|53|6.7|7.8|9.3|59|65|71|36|40|44|27|38|52|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|26.2|29|30.7||||24.8|27.8|31.3|6.6|6.9|7.3||||||||||3|4.5|5.7|||||||||||||||||||||"26150229"|"78109040"
"C3"||"C"||3|116|122|122|162|165|167|40|43|45|0|0|0|0|3|5|90|94|100|79|89|100|78|89|100|75|86|100|2|5|10|0|0|0.3|0|0|0.6|0|0.1|1.1|0.2|1.1|3.2|1.8|3.8|4.8|40|40|45|||||||50|55|58|0|0|0|0.5|0.75|1||||1.2|1.36|1.4||||1.57|1.73|1.83|2.69|4.23|9|14|0.13|0.14|0.15||||28.4|32.2|36.2|23.1|27.9|33.1|39|43|53|6.7|7.8|9.3|59|65|71|36|40|44|27|38|52|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|26.2|29|30.7||||24.8|27.8|31.3|6.6|6.9|7.3||||||||||3|4.5|5.7|||||||||||||||||||||"26150229"|"78109041"
"Bw"||"B"|||38|43|46|63|66|68|20|23|25|0|0|0|0|3|5|90|94|100|79|89|100|78|89|100|75|86|100|2|5|10|0|0|0.3|0|0|0.6|0|0.1|1.1|0.2|1.1|3.2|1.8|3.8|4.8|40|40|45|||||||50|55|58|0|0|0|0.5|0.75|1||||1.2|1.36|1.4||||1.57|1.73|1.83|2.69|4.23|9|14|0.13|0.14|0.15||||28.4|32.2|36.2|23.1|27.9|33.1|39|43|53|6.7|7.8|9.3|59|65|71|36|40|44|27|38|52|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|26.2|29|30.7||||24.8|27.8|31.3|6.6|6.9|7.3||||||||||3|4.5|5.7|||||||||||||||||||||"26150229"|"78109038"
"Ap1"||"A"||1|0|0|0|10|23|23|10|23|23|0|0|0|0|4|5|88|94|100|77|87|100|76|87|100|74|86|100|2|3|10|0|0|0.3|0|0|0.6|0|0|1.1|0.2|0.7|3.2|1.8|2.3|4.8|40|42|48|||||||50|55|58|0|0|0|1|2|3||||1.1|1.2|1.3||||1.28|1.38|1.43|2.66|4.23|9|14|0.13|0.14|0.15||||30.6|33.4|36.2|24.5|28.7|33.2|44|49|55|6.8|7.9|9.3|65|70|75|30|35|40|24|36|50|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|26.5|29.4|31.2||||17.5|18.5|21.1|6.1|6.3|6.5||||||||||6.1|7.6|9.1|||||||||||||||||||||"26150229"|"78109036"
"Ap2"||"A"||2|10|23|23|38|43|46|15|20|23|0|0|0|0|4|5|88|94|100|77|87|100|76|87|100|74|86|100|2|3|10|0|0|0.3|0|0|0.6|0|0|1.1|0.2|0.7|3.2|1.8|2.3|4.8|40|42|48|||||||50|55|58|0|0|0|1|2|3||||1.1|1.2|1.3||||1.28|1.38|1.43|2.66|4.23|9|14|0.13|0.14|0.15||||30.6|33.4|36.2|24.5|28.7|33.2|44|49|55|6.8|7.9|9.3|65|70|75|30|35|40|24|36|50|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|26.5|29.4|31.2||||17.5|18.5|21.1|6.1|6.3|6.5||||||||||6.1|7.6|9.1|||||||||||||||||||||"26150229"|"78109037"
"Ag1"||"A"||1|10|15|15|23|25|28|8|10|13|0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|90|94|100|5|8|15|0.2|0.3|0.5|0.3|0.5|0.9|0.6|0.9|1.7|1.6|2.5|4.7|2.3|3.8|7.2|40|46|55|20|20|22|22|26|35|40|46|50|0|0|0|2|4|6||||1.13|1.27|1.4||||1.24|1.38|1.51||1.41|7|14|0.15|0.16|0.17||||31|33.6|35.5|22.6|27.6|31.5|41|49|56|2.4|3|3.4|53|67|80|28|36|43|28|40|54|".20"|".20"|0|0|0|0|0|0|1|3|5|0|0|0||||6.9|8.2|9.3|2|4.5|6|4.5|5.2|6.5||||||||||11.1|18|24|0|1.5|3||||||||||||||||||"26150230"|"78109043"
"Ag2"||"A"||2|23|25|28|30|33|35|5|8|10|0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|90|94|100|5|8|15|0.2|0.3|0.5|0.3|0.5|0.9|0.6|0.9|1.7|1.6|2.5|4.7|2.3|3.8|7.2|40|46|55|20|20|22|22|26|35|40|46|50|0|0|0|2|4|6||||1.13|1.27|1.4||||1.24|1.38|1.51||1.41|7|14|0.15|0.16|0.17||||31|33.6|35.5|22.6|27.6|31.5|41|49|56|2.4|3|3.4|53|67|80|28|36|43|28|40|54|".20"|".20"|0|0|0|0|0|0|1|3|5|0|0|0||||6.9|8.2|9.3|2|4.5|6|4.5|5.2|6.5||||||||||11.1|18|24|0|1.5|3||||||||||||||||||"26150230"|"78109044"
"Apg"||"A"|||0|0|0|10|15|15|10|15|15|0|0|0|0|0|0|94|96|100|88|92|100|84|91|100|79|86|100|5|8|15|0.2|0.3|0.5|0.3|0.5|0.9|0.6|0.9|1.7|1.6|2.5|4.7|2.3|3.8|7.2|40|46|55|20|20|22|22|26|35|40|46|50|0|0|0|5|8|10||||1.18|1.23|1.31||||1.41|1.46|1.51||1.41|7|14|0.19|0.19|0.21||||30.2|33.5|36.4|23.1|28.8|33.5|45|48|52|4.6|5.6|6.7|58|72|85|28|35|42|24|36|55|".17"|".17"|0|0|0|0|0|0|1|3|5|0|0|0||||6.7|7.9|8.8|1.6|2.5|7.1|4.5|4.8|6.5||||||||||16.3|25.8|31|0|1.5|3||||||||||||||||||"26150230"|"78109042"
